epoch,time,train/box_loss,train/seg_loss,train/cls_loss,train/dfl_loss,metrics/precision(B),metrics/recall(B),metrics/mAP50(B),metrics/mAP50-95(B),metrics/precision(M),metrics/recall(M),metrics/mAP50(M),metrics/mAP50-95(M),val/box_loss,val/seg_loss,val/cls_loss,val/dfl_loss,lr/pg0,lr/pg1,lr/pg2
1,49.0226,0,0,25.147,0,0,0,0,0,0,0,0,0,0,0,6.80477,0,4e-05,4e-05,4e-05
2,75.572,0,0,24.7804,0,0,0,0,0,0,0,0,0,0,0,6.81216,0,9.901e-05,9.901e-05,9.901e-05
3,100.752,0,0,24.3732,0,0,0,0,0,0,0,0,0,0,0,6.82071,0,0.000156832,0.000156832,0.000156832
4,125.736,0,0,23.934,0,0,0,0,0,0,0,0,0,0,0,6.82111,0,0.000213466,0.000213466,0.000213466
5,151.053,0,0,23.3723,0,0,0,0,0,0,0,0,0,0,0,6.81678,0,0.000268912,0.000268912,0.000268912
6,175.77,0,0,22.6429,0,0,0,0,0,0,0,0,0,0,0,6.81764,0,0.00032317,0.00032317,0.00032317
7,200.706,0,0,21.9601,0,0,0,0,0,0,0,0,0,0,0,7.22351,0,0.00037624,0.00037624,0.00037624
8,225.299,0,0,21.3598,0,0,0,0,0,0,0,0,0,0,0,7.99565,0,0.000428122,0.000428122,0.000428122
9,250.398,0,0,20.606,0,0,0,0,0,0,0,0,0,0,0,10.1305,0,0.000478816,0.000478816,0.000478816
10,275.661,0,0,19.5671,0,0,0,0,0,0,0,0,0,0,0,10.2266,0,0.000528322,0.000528322,0.000528322
11,300.348,0,0,18.6717,0,0,0,0,0,0,0,0,0,0,0,6.36969,0,0.00057664,0.00057664,0.00057664
12,324.969,0,0,18.3575,0,0,0,0,0,0,0,0,0,0,0,8.27146,0,0.00062377,0.00062377,0.00062377
13,349.631,0,0,17.3749,0,0,0,0,0,0,0,0,0,0,0,75.95,0,0.000669712,0.000669712,0.000669712
14,374.237,0,0,17.0359,0,0,0,0,0,0,0,0,0,0,0,6.76432,0,0.000714466,0.000714466,0.000714466
15,399.305,0,0,16.9805,0,0,0,0,0,0,0,0,0,0,0,5.0358,0,0.000758032,0.000758032,0.000758032
